record_num,id,precursor,decision,reason,source,title,authors,year,journal,doi,pmid,link,exclusion_reason,pdf_file,fulltext_note
82,CN-02824486,none,EXCLUDE,No NMN/NR,abstract,Tracing the Metabolic Flux of Orally Administered NAD+ Precursors,"NCT06882096,",2025,https://clinicaltrials.gov/ct2/show/NCT06882096,,02824486,https://clinicaltrials.gov/study/NCT06882096,,,
83,CN-02867046,none,EXCLUDE,No NMN/NR,abstract screen,Comparisons of NAD Precursors for Neuroenhancement in Glaucoma Patients,"NCT06991712,",2025,https://clinicaltrials.gov/ct2/show/NCT06991712,,02867046,https://clinicaltrials.gov/study/NCT06991712,,,
85,CN-02932080,none,EXCLUDE,No NMN/NR,abstract screen,Individualized exercise and NAD+ precursor supplementation in Friedreich’s Ataxia: a randomized controlled trial,"Lin, KY; Bucha, A; McSweeney, K...",2025,SSRN,10.2139/ssrn.5698224,02932080,https://doi.org/10.2139/ssrn.5698224,,,
88,CN-02456938,none,EXCLUDE,No NMN/NR,abstract,Effect of Oral NAD+ Precursors Administration on Blood NAD+ Concentration in Healthy Adults,"NCT05517122,",2022,https://clinicaltrials.gov/ct2/show/NCT05517122,,02456938,https://clinicaltrials.gov/study/NCT05517122,,,
91,CN-02053033,none,EXCLUDE,No NMN/NR,abstract screen,NAD+ and Exercise in FA,"NCT04192136,",2019,https://clinicaltrials.gov/ct2/show/NCT04192136,,02053033,https://clinicaltrials.gov/study/NCT04192136,,,
92,CN-02307825,none,EXCLUDE,No NMN/NR,title/abstract,Sirtuin-NAD Activator in Alzheimer's Disease,"NCT05040321,",2021,https://clinicaltrials.gov/ct2/show/NCT05040321,,02307825,https://clinicaltrials.gov/study/NCT05040321,,,
104,CN-02572259,none,EXCLUDE,No NMN/NR,title/abstract,Longitudinal metabolomics analysis reveals the acute effect of cysteine and NAC included in the combined metabolic activators,"Yang, H; Li, X; Jin, H...",2023,Free radical biology &amp; medicine,10.1016/j.freeradbiomed.2023.05.013,02572259,https://doi.org/10.1016/j.freeradbiomed.2023.05.013,,,
105,CN-00359075,none,EXCLUDE,No NMN/NR,abstract,Nicotinamide counteracts alcohol-induced impairment of hepatic protein metabolism in humans,"Volpi, E; Lucidi, P; Cruciani, G...",1997,Journal of nutrition,10.1093/jn/127.11.2199,00359075,https://doi.org/10.1093/jn/127.11.2199,,,
114,CN-02948220,none,EXCLUDE,No NMN/NR,screening,Developing Topics,"Martens, CR; Decker, KP; DeConne, TM...",2025,Alzheimer's &amp; dementia,10.1002/alz70861_108851,02948220,https://doi.org/10.1002/alz70861_108851,,,
120,CN-01004275,none,EXCLUDE,No NMN/NR,title/abstract,Nicotinamide for skin cancer chemoprevention,"Chen, AC; Martin, AJ; Halliday, GM...",2012,Asia-Pacific journal of clinical oncology,10.1111/ajco.12030,01004275,https://doi.org/10.1111/ajco.12030,,,
130,CN-02179127,none,EXCLUDE,No NMN/NR,abstract,Improvement in inner retinal function in glaucoma in response to nicotinamide (Vitamin B3) supplementation: a crossover randomized clinical trial,"Hui, F; Tang, J; Williams, P...",2020,Investigative ophthalmology &amp; visual science,,02179127,https://pubmed.ncbi.nlm.nih.gov/02179127,,,
134,CN-02885480,none,EXCLUDE,No NMN/NR,abstract screen,Effect of Sevelamer versus Bifidobacterium longum on Insulin Sensitivity in Subjects with Obesity,"Baeuerle, E; Semwal, MK; Nie, J...",2025,medRxiv: the preprint server for health sciences,10.1101/2025.06.23.25327556,02885480,https://doi.org/10.1101/2025.06.23.25327556,,,
169,CN-02594401,none,EXCLUDE,No NMN/NR,title/abstract,SENolytics to Improve Osteoporosis Therapy,"NCT06018467,",2023,https://clinicaltrials.gov/ct2/show/NCT06018467,,02594401,https://clinicaltrials.gov/study/NCT06018467,,,
186,CN-02181681,none,EXCLUDE,No NMN/NR,abstract,Metabolic Cofactor Supplementation and Hydroxychloroquine Combination in Covid-19 Patients,"NCT04573153,",2020,https://clinicaltrials.gov/ct2/show/NCT04573153,,02181681,https://clinicaltrials.gov/study/NCT04573153,,,
198,CN-02928861,none,EXCLUDE,No NMN/NR,abstract,Controlled-Ileocolonic-Release Nicotinamide (CICR-NAM): pharmacokinetics And Dose Finding,"Desaga, E; Waetzig, GH; Liu, S...",2025,Aktuelle Ernahrungsmedizin,10.1055/s-0045-1809104,02928861,https://doi.org/10.1055/s-0045-1809104,,,
200,CN-02572901,none,EXCLUDE,No NMN/NR,screening,"A Phase I, double-blind, randomised, placebo-controlled, single-ascending and multiple-ascending dose trial to evaluate the safety and pharmacokinetics of oral controlled-ileal-release nicotinic acid (CIR-NA) compared to immediate-release nicotinic acid and placebo in healthy subjects and subjects with prediabetes","DRKS00030865,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=DRKS00030865,,02572901,https://drks.de/search/en/trial/DRKS00030865,,,
209,CN-02289611,none,EXCLUDE,No NMN/NR,abstract screen,NR Supplementation and Exercise,"NCT04907110,",2021,https://clinicaltrials.gov/show/NCT04907110,,02289611,https://clinicaltrials.gov/study/NCT04907110,,,
214,CN-02536207,none,EXCLUDE,No NMN/NR,abstract screen,NAD+ BIOLOGY AS A POTENTIAL THERAPEUTIC TARGET FOR DIABETIC NEUROPATHY,"Yoshino, J",2023,Journal of the peripheral nervous system,10.1111/jns.12527,02536207,https://doi.org/10.1111/jns.12527,,,
216,CN-01966277,none,EXCLUDE,No NMN/NR,abstract screen,Effect of Basis™ and High Intensity Interval Training (HIIT) on Muscle Metabolism and Exercise Performance,"NCT04050358,",2019,https://clinicaltrials.gov/show/NCT04050358,,01966277,https://clinicaltrials.gov/study/NCT04050358,,,
237,CN-02366855,none,EXCLUDE,No NMN/NR,abstract,Exercise Training and NR Supplementation Trial to Improve Fitness in AYA HCT Survivors,"NCT05194397,",2021,https://clinicaltrials.gov/ct2/show/NCT05194397,,02366855,https://clinicaltrials.gov/study/NCT05194397,,,
238,CN-00618650,none,EXCLUDE,No NMN/NR,abstract,Effect of dronedarone on renal function in healthy subjects,"Tschuppert, Y; Buclin, T; Rothuizen, LE...",2007,British journal of clinical pharmacology,10.1111/j.1365-2125.2007.02998.x,00618650,https://doi.org/10.1111/j.1365-2125.2007.02998.x,,,
335,CN-02632460,none,EXCLUDE,No NMN/NR,abstract screen,The NADAPT Study: a Randomized Double-blind Trial of NAD Replenishment Therapy for Atypical Parkinsonism,"NCT06162013,",2023,https://clinicaltrials.gov/ct2/show/NCT06162013,,02632460,https://clinicaltrials.gov/study/NCT06162013,,,
343,CN-01494715,none,EXCLUDE,No NMN/NR,abstract,"Pharmacokinetics, Pharmacodynamics and Safety of Basis in Acute Kidney Injury Study","NCT03176628,",2017,https://clinicaltrials.gov/show/NCT03176628,,01494715,https://clinicaltrials.gov/study/NCT03176628,,,
357,CN-02945443,none,EXCLUDE,No NMN/NR,screening,NAD Augmentation to Prevent or Reverse Alzheimer's Disease in People With Down Syndrome,"NCT07278492,",2025,https://clinicaltrials.gov/study/NCT07278492,,02945443,https://clinicaltrials.gov/study/NCT07278492,,,
394,CN-01260124,none,EXCLUDE,No NMN/NR,abstract,The Effects of Nitrate-Rich Supplementation on Neuromuscular Efficiency during Heavy Resistance Exercise,"Flanagan, SD; Looney, DP; Miller, MJ...",2016,Journal of the American College of Nutrition,10.1080/07315724.2015.1081572,01260124,https://doi.org/10.1080/07315724.2015.1081572,,,
409,CN-02476448,none,EXCLUDE,No NMN/NR,abstract,Slow Age: interventions to Slow Aging in Humans,"NCT05593939,",2022,https://clinicaltrials.gov/show/NCT05593939,,02476448,https://clinicaltrials.gov/study/NCT05593939,,,
435,CN-02848008,none,EXCLUDE,No NMN/NR,title/abstract,"Qualia NAD+® Increases NAD+ In Human Participants: a Randomized, Double-Blind, Placebo-Controlled Study","Blomquist, SA; Kelly, G; Adaes, S...",2025,medRxiv: the preprint server for health sciences,10.1101/2025.03.19.25324259,02848008,https://doi.org/10.1101/2025.03.19.25324259,,,
436,CN-02612678,none,EXCLUDE,No NMN/NR,screening,Systemic NAD+ deficiency reveals a potential therapeutic target for RYR1-related myopathies,"Lawal, T; Riekhof, W; Groom, L...",2023,Neuromuscular disorders,10.1016/j.nmd.2023.07.247,02612678,https://doi.org/10.1016/j.nmd.2023.07.247,,,
445,CN-02159110,none,EXCLUDE,No NMN/NR,title/abstract,"Safety of NR-INF-02, an Extract of Curcuma Longa Containing Turmerosaccharides, in Healthy Volunteers: a Randomized, Open-label Clinical Trial","Selvi, M; Mohan Mv, R; Bethapudi, B...",2022,Alternative therapies in health and medicine,,02159110,https://pubmed.ncbi.nlm.nih.gov/02159110,,,
518,CN-01918936,none,EXCLUDE,No NMN/NR,abstract screen,NAD-supplementation in Drug naïve Parkinson's Disease,"NCT03816020,",2018,https://clinicaltrials.gov/show/NCT03816020,,01918936,https://clinicaltrials.gov/study/NCT03816020,,,
523,CN-01937237,none,EXCLUDE,No NMN/NR,abstract screen,Impact of Acute Dietary Nitrate Supplementation during Exercise in Hypertensive Women,"Caldwell, JT; Sutterfield, SL; Post, HK...",2019,Medicine and science in sports and exercise,10.1249/MSS.0000000000001857,01937237,https://doi.org/10.1249/MSS.0000000000001857,,,
661,CN-02759156,none,EXCLUDE,No NMN/NR,screening,Acute impact of inorganic nitrate supplementation after ischemia and during small muscle mass exercise in postmenopausal females: a pilot study,"Caldwell, JT; Koenke, A; Zimmerman, L...",2024,Physiological reports,10.14814/phy2.70076,02759156,https://doi.org/10.14814/phy2.70076,,,
715,CN-01662321,none,EXCLUDE,No NMN/NR,abstract,Basis: evaluating Sirtuin Supplements To Benefit Elderly Trauma Patients (BES2T BET),"NCT03635411,",2018,https://clinicaltrials.gov/show/NCT03635411,,01662321,https://clinicaltrials.gov/study/NCT03635411,,,
814,CN-02410515,none,EXCLUDE,No NMN/NR,title/abstract,A clinical trial is being conducted to see the benefit of a known lipid-lowering drug such as pitavastatin in patients with advanced prostate cancer who are being treated with the new anti-androgens,"EUCTR2022-000082-41-ES,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2022-000082-41-ES,,02410515,https://pubmed.ncbi.nlm.nih.gov/02410515,,,
851,CN-02184687,none,EXCLUDE,No NMN/NR,screening,Study on health promotion by exercise nutrition intervention: a randomized controlled trial,"ChiCTR2000035138,",2020,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2000035138,,02184687,https://www.chictr.org.cn/showproj.html?proj=2000035138,,,
856,40969372,none,EXCLUDE,No NMN/NR,title/abstract,NADH supplementation improves human oocyte maturation and developmental competence of resulting embryos in controlled ovarian hyperstimulation cycles: a pilot study implicating the CDK2/GAS6 signaling pathway.,"Zhang, Qiqi; Yang, Han; Yang, Dandan...",2025,Frontiers in endocrinology,https://dx.doi.org/10.3389/fendo.2025.1627679,40969372,https://doi.org/https://dx.doi.org/10.3389/fendo.2025.1627679,,,
860,39661983,none,EXCLUDE,No NMN/NR,abstract,NAD+ metabolism restriction boosts high-dose melphalan efficacy in patients with multiple myeloma.,"Soncini, Debora; Becherini, Pamela; Ladisa, Francesco...",2025,Blood advances,https://dx.doi.org/10.1182/bloodadvances.2024013425,39661983,https://doi.org/https://dx.doi.org/10.1182/bloodadvances.2024013425,,,
864,37364580,none,EXCLUDE,No NMN/NR,title/abstract,Nicotinamide Adenine Dinucleotide in Aging Biology: Potential Applications and Many Unknowns.,"Bhasin, Shalender; Seals, Douglas; Migaud, Marie...",2023,Endocrine reviews,https://dx.doi.org/10.1210/endrev/bnad019,37364580,https://doi.org/https://dx.doi.org/10.1210/endrev/bnad019,,,
882,32790648,none,EXCLUDE,No NMN/NR,screening,Boosting NAD level suppresses inflammatory activation of PBMCs in heart failure.,"Zhou, Bo; Wang, Dennis Ding-Hwa; Qiu, Yanhua...",2020,The Journal of clinical investigation,https://dx.doi.org/10.1172/JCI138538,32790648,https://doi.org/https://dx.doi.org/10.1172/JCI138538,,,
888,29189123,none,EXCLUDE,No NMN/NR,abstract,Anti-Aging Drugs - Prospect of Longer Life?.,"Klimova, Blanka; Novotny, Michal; Kuca, Kamil",2018,Current medicinal chemistry,https://dx.doi.org/10.2174/0929867325666171129215251,29189123,https://doi.org/https://dx.doi.org/10.2174/0929867325666171129215251,,,
941,WOS:000442974100019,none,EXCLUDE,No NMN/NR,abstract,Vitamin B3 forms as precursors to NAD plus : Are they safe?,"Poljsak, B; Milisava, I",2018,TRENDS IN FOOD SCIENCE & TECHNOLOGY,10.1016/j.tifs.2018.07.020,000442974100019,https://doi.org/10.1016/j.tifs.2018.07.020,,,
954,WOS:001689847900001,none,EXCLUDE,No NMN/NR,screening,Restoring NAD plus -Sirtuins Signaling: A Novel Approach to Combat Male Reproductive Aging,"Zhou, L; Lan, XC; Wang, MJ...",2026,WORLD JOURNAL OF MENS HEALTH,10.5534/wjmh.250248,001689847900001,https://doi.org/10.5534/wjmh.250248,,,
962,WOS:A1993LP64900004,none,EXCLUDE,No NMN/NR,abstract,"EFFECT OF FLUVOXAMINE, IMIPRAMINE AND PLACEBO ON CATECHOLAMINE FUNCTION IN DEPRESSED OUTPATIENTS","JOHNSON, MR; LYDIARD, RB; MORTON, WA...",1993,JOURNAL OF PSYCHIATRIC RESEARCH,10.1016/0022-3956(93)90004-L,64900004,https://doi.org/10.1016/0022-3956(93)90004-L,,,
966,WOS:000080867600018,none,EXCLUDE,No NMN/NR,title/abstract,Respiratory insufficiency in postmenopausal women - Sustained improvement of gas exchange with short-term medroxyprogesterone acetate,"Saaresranta, T; Polo-Kantola, P; Irjala, K...",1999,CHEST,10.1378/chest.115.6.1581,000080867600018,https://doi.org/10.1378/chest.115.6.1581,,,
967,WOS:001684106600001,none,EXCLUDE,No NMN/NR,abstract screen,Hair growth enhancement via mitochondrial activation by Mito-activator complex,"Lee, IG; Lim, HJ; Kwon, EJ...",2026,INTERNATIONAL JOURNAL OF COSMETIC SCIENCE,10.1111/ics.70072,001684106600001,https://doi.org/10.1111/ics.70072,,,
975,"Export Date: 03 March 2026; Cited By: 0; Correspondence Address: X.A. Cambronne; Department of Molecular Biosciences, The University of Texas at Austin, Austin, 78737, United States; email: lulu@austin.utexas.edu; CODEN: MOMEE",none,EXCLUDE,No NMN/NR,screening,From Bench to Clinic: The 2024 FASEB Scientific Research Conference on NAD Metabolism and Signaling,"Imai, S.-I.; Pirinen, E.; Sack, M.N....",2025,Molecular Medicine,10.1186/s10020-025-01394-0,,https://doi.org/10.1186/s10020-025-01394-0,,,
977,"Export Date: 03 March 2026; Cited By: 37; Correspondence Address: V. Sorrentino; Healthy Longevity Translational Research Programme, Yong Loo Lin School of Medicine, National University of Singapore, Singapore, Singapore; email: vsorrent@nus.edu.sg",none,EXCLUDE,No NMN/NR,title/abstract,The role of NAD+ metabolism and its modulation of mitochondria in aging and disease,"Yusri, K.; Jose, S.; Vermeulen, K.S....",2025,NPJ Metabolic Health and Disease,10.1038/s44324-025-00067-0,,https://doi.org/10.1038/s44324-025-00067-0,,,
980,"Export Date: 03 March 2026; Cited By: 4; Correspondence Address: R.H. Houtkooper; Laboratory Genetic Metabolic Diseases, Amsterdam UMC, University of Amsterdam, Amsterdam, Netherlands; email: r.h.houtkooper@amsterdamumc.nl",none,EXCLUDE,No NMN/NR,abstract,NAD+ precursor supplementation in human ageing: clinical evidence and challenges,"Vinten, K.T.; Trętowicz, M.M.; Coskun, E....",2025,Nature Metabolism,10.1038/s42255-025-01387-7,,https://doi.org/10.1038/s42255-025-01387-7,,,
982,"Export Date: 03 March 2026; Cited By: 2; Correspondence Address: A.J. Clark; Pediatrics, Pediatric Nephrology and Children’s Medical Center Dallas, University of Texas Southwestern, Dallas, United States; email: Amanda.clark@utsouthwestern.edu; CODEN: PEDNE",none,EXCLUDE,No NMN/NR,abstract screen,Pediatric acute kidney injury is associated with impairment in nicotinamide adenine dinucleotide (NAD+) metabolism,"Clark, A.J.; Flores, B.M.; Saade, M.C....",2025,Pediatric Nephrology,10.1007/s00467-025-06791-5,,https://doi.org/10.1007/s00467-025-06791-5,,,
997,"Export Date: 03 March 2026; Cited By: 1; Correspondence Address: S.B. Iloki-Assanga; Dept. of Chemical Biological Sciences, University of Sonora, Hermosillo, Mexico, Hemosillo, Sonora, 83000, Mexico; email: simon.iloki@unison.mx",none,EXCLUDE,No NMN/NR,title/abstract,Nutraceutical and dietary measures with potential for preventing/controlling non-alcoholic fatty liver disease and its complications,"Lewis, L.M.; McCarty, M.F.; Gálvez Ruiz, J.C....",2024,Human Nutrition and Metabolism,10.1016/j.hnm.2024.200281,,https://doi.org/10.1016/j.hnm.2024.200281,,,
1015,"Export Date: 03 March 2026; Cited By: 28; Correspondence Address: E.F. Fang; Department of Clinical Molecular Biology, University of Oslo and Akershus University Hospital, Lørenskog, 1478, Norway; email: e.f.fang@medisin.no; V.A. Bohr; DNA Repair Section, National Institute on Aging, National Institutes of Health, Baltimore, 21224, United States; email: vbohr@sund.ku.dk",none,EXCLUDE,No NMN/NR,screening,Roles of NAD+ in Health and Aging,"Lautrup, S.; Hou, Y.; Fang, E.F....",2024,Cold Spring Harbor Perspectives in Medicine,10.1101/cshperspect.a041193,,https://doi.org/10.1101/cshperspect.a041193,,,
1017,"Export Date: 03 March 2026; Cited By: 12; Correspondence Address: A. Chiarugi; Section of Clinical Pharmacology and Oncology, Department of Health Sciences, University of Florence, Florence, Italy; email: alberto.chiarugi@unifi.it; CODEN: TPHSD",none,EXCLUDE,No NMN/NR,abstract,Glaucoma: neuroprotection with NAD-based therapeutic interventions,"Chiarugi, A.",2023,Trends in Pharmacological Sciences,10.1016/j.tips.2023.09.010,,https://doi.org/10.1016/j.tips.2023.09.010,,,
1018,"Export Date: 03 March 2026; Cited By: 36; Correspondence Address: W. Xia; Department of Hypertension and Vascular Disease, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, 510080, China; email: xwhzsyy@163.com; J. Tao; Department of Hypertension and Vascular Disease, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, 510080, China; email: taojungz123@163.com; H. Huang; Department of Cardiology, The Eighth Affiliated Hospital of Sun Yat-sen University, Shenzhen, 518033, China; email: huangh8@mail.sysu.edu.cn",none,EXCLUDE,No NMN/NR,screening,NAD+ exhaustion by CD38 upregulation contributes to blood pressure elevation and vascular damage in hypertension,"Qiu, Y.; Xu, S.; Chen, X....",2023,Signal Transduction and Targeted Therapy,10.1038/s41392-023-01577-3,,https://doi.org/10.1038/s41392-023-01577-3,,,
1020,"Export Date: 03 March 2026; Cited By: 17; Correspondence Address: T. Nakagawa; Department of Molecular and Medical Pharmacology, Faculty of Medicine, University of Toyama, Toyama, Japan; email: nakagawa@med.u-toyama.ac.jp; CODEN: ARSIF",none,EXCLUDE,No NMN/NR,title/abstract,NAD+ Precursors in Human Health and Disease: Current Status and Future Prospects,"Yaku, K.; Nakagawa, T.",2023,Antioxidants and Redox Signaling,10.1089/ars.2023.0354,,https://doi.org/10.1089/ars.2023.0354,,,
1029,"Export Date: 03 March 2026; Cited By: 7; Correspondence Address: L. Chen; Sino-European Center of Biomedicine and Health, Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology Chinese Academy of Sciences, Shenzhen, China; email: lq.chen@siat.ac.cn; Q. Yu; Sino-European Center of Biomedicine and Health, Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology Chinese Academy of Sciences, Shenzhen, China; email: q.yu@siat.ac.cn; M. Hu; Department of Sports Medicine, Guangzhou Sport University, Guangzhou, China; email: whoomin@aliyun.com; CODEN: ACGEC",none,EXCLUDE,No NMN/NR,abstract screen,Fingerstick blood assay maps real-world NAD+ disparity across gender and age,"Wang, P.; Chen, M.; Hou, Y....",2023,Aging Cell,10.1111/acel.13965,,https://doi.org/10.1111/acel.13965,,,
1030,"Export Date: 03 March 2026; Cited By: 12; Correspondence Address: C. Perez-Sanchez; Rheumatology Service, Maimonides Institute of Biomedical Research of Cordoba (IMIBIC), Reina Sofia University Hospital, University of Córdoba, and Department of Cell Biology, Immunology and Physiology, Agrifood Campus of International Excellence, University of Córdoba, Campus de Excelencia Internacional Agroalimentario (ceiA3), Córdoba, Spain; Cobiomic Bioscience, Spain; email: rosario.lopez.exts@juntadeandalucia.es",none,EXCLUDE,No NMN/NR,title/abstract,Preclinical Characterization of Pharmacologic NAD+ Boosting as a Promising Therapeutic Approach in Rheumatoid Arthritis,"Pérez-Sánchez, C.; Escudero-Contreras, A.; Cerdó, T....",2023,Arthritis and Rheumatology,10.1002/art.42528,,https://doi.org/10.1002/art.42528,,,
1034,"Export Date: 03 March 2026; Cited By: 21; Correspondence Address: S.E. Espinoza; Sam and Ann Barshop Institute for Longevity and Aging Studies, University of Texas Health Science Center at San Antonio, San Antonio, 7703 Floyd Curl Drive, 78229, United States; email: espinozas2@uthscsa.edu; CODEN: JGASF",none,EXCLUDE,No NMN/NR,title/abstract,Drugs Targeting Mechanisms of Aging to Delay Age-Related Disease and Promote Healthspan: Proceedings of a National Institute on Aging Workshop,"Espinoza, S.; Khosla, S.; Baur, J.A....",2023,Journals of Gerontology - Series A Biological Sciences and Medical Sciences,10.1093/gerona/glad034,,https://doi.org/10.1093/gerona/glad034,,,
1042,"Export Date: 03 March 2026; Cited By: 6; Correspondence Address: Y. Yan; Institute of Microbiology, Guangxi Academy of Agricultural Sciences, Nanning, China; email: infungi@126.com; Y. Liao; Guangxi Veterinary Research Institute, Nanning, China; email: 315951610@qq.com",none,EXCLUDE,No NMN/NR,abstract,Ganoderma lingzhi culture enhance growth performance via improvement of antioxidant activity and gut probiotic proliferation in Sanhuang broilers,"Liu, X.; Huang, L.; Shi, Y....",2023,Frontiers in Veterinary Science,10.3389/fvets.2023.1143649,315951610,https://doi.org/10.3389/fvets.2023.1143649,,,
1043,"Export Date: 03 March 2026; Cited By: 14; Correspondence Address: L. Chanvillard; Nestlé Institute of Health Sciences, Nestlé Research, Lausanne, 1015, Switzerland; email: lucie.chanvillard@rd.nestle.com; V. Sorrentino; Nestlé Institute of Health Sciences, Nestlé Research, Lausanne, 1015, Switzerland; email: vsorrent@nus.edu.sg",none,EXCLUDE,No NMN/NR,screening,NAD+ Metabolism and Interventions in Premature Renal Aging and Chronic Kidney Disease,"Chanvillard, L.; Tammaro, A.; Sorrentino, V.",2023,Cells,10.3390/cells12010021,,https://doi.org/10.3390/cells12010021,,,
1046,"Export Date: 03 March 2026; Cited By: 23; Correspondence Address: I. Milisav; Faculty of Medicine, Institute of Pathophysiology, University of Ljubljana, Ljubljana, Zaloska 4, SI-1000, Slovenia; email: irina.milisav@mf.uni-lj.si",none,EXCLUDE,No NMN/NR,title/abstract,Current Uncertainties and Future Challenges Regarding NAD+ Boosting Strategies,"Poljšak, B.; Kovač, V.; Milisav, I.",2022,Antioxidants,10.3390/antiox11091637,,https://doi.org/10.3390/antiox11091637,,,
1049,"Export Date: 03 March 2026; Cited By: 35; Correspondence Address: G.J. Guillemin; Neuroinflammation Group, Faculty of Medicine and Health Sciences, Macquarie University, Australia; email: gilles.guillemin@mq.edu.au",none,EXCLUDE,No NMN/NR,title/abstract,The Role of Kynurenine Pathway and NAD+ Metabolism in Myalgic Encephalomyelitis/Chronic Fatigue Syndrome,"Dehhaghi, M.; Kazemi Shariat Panahi, H.K.S.; Kavyani, B....",2022,Aging and Disease,10.14336/AD.2021.0824,,https://doi.org/10.14336/AD.2021.0824,,,
1050,"Export Date: 03 March 2026; Cited By: 1; Correspondence Address: T. Nakagawa; Department of Molecular and Medical Pharmacology, Faculty of Medicine, University of Toyama, Toyama, Japan; email: nakagawa@med.u-toyama.ac.jp",none,EXCLUDE,No NMN/NR,abstract screen,NAD+ metabolism in aging,"Palikhe, S.; Nakagawa, T.",2022,"Aging Mechanisms II: Longevity, Metabolism, and Brain Aging",10.1007/978-981-16-7977-3_8,,https://doi.org/10.1007/978-981-16-7977-3_8,,,
1053,"Export Date: 03 March 2026; Cited By: 45; Correspondence Address: M. Dall; Novo Nordisk Foundation Center for Basic Metabolic Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark; email: dall@sund.ku.dk; J.T. Treebak; Novo Nordisk Foundation Center for Basic Metabolic Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark; email: jttreebak@sund.ku.dk; CODEN: JPHYA",none,EXCLUDE,No NMN/NR,abstract screen,"NAD+ and NAFLD – caution, causality and careful optimism","Dall, M.; Hassing, A.S.; Treebak, J.T.",2022,Journal of Physiology,10.1113/JP280908,,https://doi.org/10.1113/JP280908,,,
