record_num,PMID,Year,Decision,Exclusion reason,Comments
1015,"Export Date: 03 March 2026; Cited By: 28; Correspondence Address: E.F. Fang; Department of Clinical Molecular Biology, University of Oslo and Akershus University Hospital, Lørenskog, 1478, Norway; email: e.f.fang@medisin.no; V.A. Bohr; DNA Repair Section, National Institute on Aging, National Institutes of Health, Baltimore, 21224, United States; email: vbohr@sund.ku.dk",2024,include,,might actually qualify?
1017,"Export Date: 03 March 2026; Cited By: 12; Correspondence Address: A. Chiarugi; Section of Clinical Pharmacology and Oncology, Department of Health Sciences, University of Florence, Florence, Italy; email: alberto.chiarugi@unifi.it; CODEN: TPHSD",2023,exclude,No NMN/NR,
1018,"Export Date: 03 March 2026; Cited By: 36; Correspondence Address: W. Xia; Department of Hypertension and Vascular Disease, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, 510080, China; email: xwhzsyy@163.com; J. Tao; Department of Hypertension and Vascular Disease, The First Affiliated Hospital of Sun Yat-sen University, Guangzhou, 510080, China; email: taojungz123@163.com; H. Huang; Department of Cardiology, The Eighth Affiliated Hospital of Sun Yat-sen University, Shenzhen, 518033, China; email: huangh8@mail.sysu.edu.cn",2023,exclude,No NMN/NR,straightforward
1020,"Export Date: 03 March 2026; Cited By: 17; Correspondence Address: T. Nakagawa; Department of Molecular and Medical Pharmacology, Faculty of Medicine, University of Toyama, Toyama, Japan; email: nakagawa@med.u-toyama.ac.jp; CODEN: ARSIF",2023,exclude,No NMN/NR,
1029,"Export Date: 03 March 2026; Cited By: 7; Correspondence Address: L. Chen; Sino-European Center of Biomedicine and Health, Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology Chinese Academy of Sciences, Shenzhen, China; email: lq.chen@siat.ac.cn; Q. Yu; Sino-European Center of Biomedicine and Health, Shenzhen Key Laboratory for the Intelligent Microbial Manufacturing of Medicines, Shenzhen Institute of Advanced Technology Chinese Academy of Sciences, Shenzhen, China; email: q.yu@siat.ac.cn; M. Hu; Department of Sports Medicine, Guangzhou Sport University, Guangzhou, China; email: whoomin@aliyun.com; CODEN: ACGEC",2023,exclude,No NMN/NR,
1030,"Export Date: 03 March 2026; Cited By: 12; Correspondence Address: C. Perez-Sanchez; Rheumatology Service, Maimonides Institute of Biomedical Research of Cordoba (IMIBIC), Reina Sofia University Hospital, University of Córdoba, and Department of Cell Biology, Immunology and Physiology, Agrifood Campus of International Excellence, University of Córdoba, Campus de Excelencia Internacional Agroalimentario (ceiA3), Córdoba, Spain; Cobiomic Bioscience, Spain; email: rosario.lopez.exts@juntadeandalucia.es",2023,exclude,No NMN/NR,
1034,"Export Date: 03 March 2026; Cited By: 21; Correspondence Address: S.E. Espinoza; Sam and Ann Barshop Institute for Longevity and Aging Studies, University of Texas Health Science Center at San Antonio, San Antonio, 7703 Floyd Curl Drive, 78229, United States; email: espinozas2@uthscsa.edu; CODEN: JGASF",2023,exclude,No NMN/NR,
1042,"Export Date: 03 March 2026; Cited By: 6; Correspondence Address: Y. Yan; Institute of Microbiology, Guangxi Academy of Agricultural Sciences, Nanning, China; email: infungi@126.com; Y. Liao; Guangxi Veterinary Research Institute, Nanning, China; email: 315951610@qq.com",2023,exclude,No NMN/NR,
1043,"Export Date: 03 March 2026; Cited By: 14; Correspondence Address: L. Chanvillard; Nestlé Institute of Health Sciences, Nestlé Research, Lausanne, 1015, Switzerland; email: lucie.chanvillard@rd.nestle.com; V. Sorrentino; Nestlé Institute of Health Sciences, Nestlé Research, Lausanne, 1015, Switzerland; email: vsorrent@nus.edu.sg",2023,exclude,No NMN/NR,
1046,"Export Date: 03 March 2026; Cited By: 23; Correspondence Address: I. Milisav; Faculty of Medicine, Institute of Pathophysiology, University of Ljubljana, Ljubljana, Zaloska 4, SI-1000, Slovenia; email: irina.milisav@mf.uni-lj.si",2022,exclude,No NMN/NR,
1049,"Export Date: 03 March 2026; Cited By: 35; Correspondence Address: G.J. Guillemin; Neuroinflammation Group, Faculty of Medicine and Health Sciences, Macquarie University, Australia; email: gilles.guillemin@mq.edu.au",2022,exclude,No NMN/NR,
1050,"Export Date: 03 March 2026; Cited By: 1; Correspondence Address: T. Nakagawa; Department of Molecular and Medical Pharmacology, Faculty of Medicine, University of Toyama, Toyama, Japan; email: nakagawa@med.u-toyama.ac.jp",2022,exclude,No NMN/NR,
1053,"Export Date: 03 March 2026; Cited By: 45; Correspondence Address: M. Dall; Novo Nordisk Foundation Center for Basic Metabolic Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark; email: dall@sund.ku.dk; J.T. Treebak; Novo Nordisk Foundation Center for Basic Metabolic Research, Faculty of Health and Medical Sciences, University of Copenhagen, Copenhagen, Denmark; email: jttreebak@sund.ku.dk; CODEN: JPHYA",2022,exclude,No NMN/NR,
1061,"Export Date: 03 March 2026; Cited By: 30; Correspondence Address: J.C. Escolà-Gil; Institut de Recerca i d’Investigació Biomèdica de l’Hospital de la Santa Creu i Sant Pau, IIB-Sant Pau, Barcelona, 08041, Spain; email: jescola@santpau.cat; F. Blanco-Vaca; Department of Biochemistry and Molecular Biology, Universitat Autònoma de Barcelona, Barcelona, 08193, Spain; email: fblancova@santpau.cat; J. Julve; Institut de Recerca i d’Investigació Biomèdica de l’Hospital de la Santa Creu i Sant Pau, IIB-Sant Pau, Barcelona, 08041, Spain; email: jjulve@santpau.cat",2021,exclude,No NMN/NR,
1064,"Export Date: 03 March 2026; Cited By: 171; Correspondence Address: S. Sedej; Department of Cardiology, Medical University of Graz, Austria; email: simon.sedej@medunigraz.at; G. Kroemer; Metabolomics and Cell Biology Platforms, Institut Gustave Roussy, Villejuif, France; email: kroemer@orange.fr; CODEN: CIRCA",2021,exclude,No NMN/NR,straightforward
1069,"Export Date: 03 March 2026; Cited By: 14; Correspondence Address: J.M. Estrela; Department of Physiology, Faculty of Medicine, University of Valencia, Valencia, 46010, Spain; email: jose.m.estrela@uv.es",2021,exclude,No NMN/NR,
1071,"Export Date: 03 March 2026; Cited By: 79; Correspondence Address: C.W.S. Hoong; Division of Endocrinology, Department of General Medicine, Woodlands Health Campus, National Healthcare Group Singapore, Singapore, 768024, Singapore; email: caroline_hoong@whc.sg; CODEN: ENDOA",2021,exclude,No NMN/NR,
1075,"Export Date: 03 March 2026; Cited By: 180; Correspondence Address: J.A. Hill; Internal Medicine (Cardiology), University of Texas, Southwestern Medical Center, Dallas, United States; email: joseph.hill@utsouthwestern.edu; CODEN: CIRUA",2021,include,,might actually qualify?
1084,"Export Date: 03 March 2026; Cited By: 6; Correspondence Address: G.H. Tinnevelt; Institute for Molecules and Materials, Radboud University, Nijmegen, 6525 AJ, Netherlands; email: gtinnevelt@science.ru.nl",2020,exclude,No NMN/NR,
1088,"Export Date: 03 March 2026; Cited By: 19; Correspondence Address: K.S. Ramos; Department of Physiology, Amsterdam UMC, Vrije Universiteit, Amsterdam Cardiovascular Sciences, Amsterdam, Netherlands; email: k.silvaramos@amsterdamumc.nl",2020,exclude,No NMN/NR,
1090,"Export Date: 03 March 2026; Cited By: 40; Correspondence Address: A. Mardinoglu; Science for Life Laboratory, KTH—Royal Institute of Technology, Stockholm, Sweden; email: adilm@scilifelab.se; J. Borén; Department of Molecular and Clinical Medicine, University of Gothenburg and Sahlgrenska University Hospital Gothenburg, Gothenburg, Sweden; email: jan.boren@wlab.gu.se; A. Mardinoglu; Science for Life Laboratory, KTH—Royal Institute of Technology, Stockholm, Sweden; email: adilm@scilifelab.se",2020,exclude,No NMN/NR,
1093,"Export Date: 03 March 2026; Cited By: 35; Correspondence Address: E.F. Fang; Department of Clinical Molecular Biology, University of Oslo and Akershus University Hospital, Lørenskog, 1478, Norway; email: e.f.fang@medisin.uio.no; CODEN: MAGDA",2020,exclude,No NMN/NR,
1096,"Export Date: 03 March 2026; Cited By: 13; Correspondence Address: T.K. Ito; Department of Cellular and Molecular Anatomy, Hamamatsu University School of Medicine, Hamamatsu, 431-3192, Japan; email: takashi.ito.cj@riken.jp",2020,exclude,No NMN/NR,
1098,"Export Date: 03 March 2026; Cited By: 30; Correspondence Address: A. Mardinoglu; Science for Life Laboratory, KTH-Royal Institute of Technology, Stockholm, Sweden; email: adilm@scilifelab.se",2019,exclude,No NMN/NR,
1099,"Export Date: 03 March 2026; Cited By: 193; Correspondence Address: T. Nakagawa; Department of Metabolism and Nutrition, Graduate School of Medicine and Pharmaceutical Science for Research, University of Toyama, Toyama, 2630 Sugitani, Toyama, 930-0194, Japan; email: nakagawa@med.u-toyama.ac.jp; CODEN: JBCIE",2019,unsure,,check w Tai
1112,"Export Date: 03 March 2026; Cited By: 717; Correspondence Address: D.A. Sinclair; Department of Genetics, Harvard Medical School, Boston, 02115, United States; email: david_sinclair@hms.harvard.edu; CODEN: NRMCB",2016,exclude,No NMN/NR,straightforward
1120,"Export Date: 03 March 2026; Cited By: 69; Correspondence Address: E. S. Burgos; Albert Einstein College of Medicine, Biochemistry Department, Bronx, NY 10461, United States; email: emmanuel.burgos@einstein.yu.edu; CODEN: CMCHE",2011,exclude,No NMN/NR,
1125,"Export Date: 03 March 2026; Cited By: 262; Correspondence Address: G. Magni; Ist. di Biotecnologie Biochimiche, Univ. Politecnica Delle Marche, 60131 Ancona, Via Ranieri 69, Italy; email: magnig@univpm.it; CODEN: CMLSF",2004,exclude,No NMN/NR,
5,41502156,2026,exclude,No RCT + no outcome,
28,38430946,2024,exclude,No RCT + no outcome,
37,36936793,2023,exclude,No RCT + no outcome,
54,35182418,2023,exclude,No RCT + no outcome,
77,29599478,2018,exclude,No RCT + no outcome,
87,CN-02891176,2025,exclude,No RCT + no outcome,
100,CN-02555899,2022,exclude,No RCT + no outcome,
101,CN-02894840,2025,exclude,No RCT + no outcome,
102,CN-02230105,2020,exclude,No RCT + no outcome,
108,CN-02289598,2021,exclude,No RCT + no outcome,
115,CN-02297336,2021,exclude,No RCT + no outcome,
121,CN-02125004,2020,exclude,No RCT + no outcome,
144,CN-02783026,2024,exclude,No RCT + no outcome,
157,CN-02518085,2023,exclude,No RCT + no outcome,
204,CN-02197205,2020,exclude,No RCT + no outcome,
226,CN-02741558,2024,exclude,No RCT + no outcome,
232,CN-01111313,2015,include,,might actually qualify?
247,CN-02070311,2019,exclude,No RCT + no outcome,
257,CN-02070330,2019,exclude,No RCT + no outcome,
270,CN-02850624,2025,exclude,No RCT + no outcome,straightforward
274,CN-01663626,2018,exclude,No RCT + no outcome,
309,CN-02702501,2024,exclude,No RCT + no outcome,
326,CN-02253228,2021,exclude,No RCT + no outcome,
333,CN-02816025,2025,exclude,No RCT + no outcome,straightforward
337,CN-02554354,2023,exclude,No RCT + no outcome,
344,CN-02067173,2019,exclude,No RCT + no outcome,
486,CN-02828740,2025,unsure,,ask Tai
488,CN-02634873,2023,exclude,No RCT + no outcome,
553,CN-02823693,2025,exclude,No RCT + no outcome,
571,CN-02766984,2024,exclude,No RCT + no outcome,
695,CN-01972245,2019,exclude,No RCT + no outcome,
758,CN-02897906,2024,exclude,No RCT + no outcome,
839,CN-02448066,2020,exclude,No RCT + no outcome,
857,40479886,2025,exclude,No RCT + no outcome,
863,37899683,2024,exclude,No RCT + no outcome,straightforward
948,WOS:001604050800001,2025,exclude,No RCT + no outcome,
960,WOS:000588251000001,2021,exclude,No RCT + no outcome,
991,"Export Date: 03 March 2026; Cited By: 0; Correspondence Address: R.G. Zhai; Department of Molecular and Cellular Pharmacology, University of Miami Miller School of Medicine, Miami, 33136, United States; email: rgzhai@uchicago.edu",2025,exclude,No RCT + no outcome,
1005,"Export Date: 03 March 2026; Cited By: 2; Correspondence Address: M.N. Sack; Laboratory of Mitochondrial Biology and Metabolism, National Heart, Lung, and Blood Institute, National Institutes of Health, Bldg. 10-CRC, Room 5-3342, 10 Center Drive, Bethesda, 20892, United States; email: sackm@nih.gov",2024,exclude,No RCT + no outcome,straightforward
1009,"Export Date: 03 March 2026; Cited By: 20; Correspondence Address: X. Zha; Department of Pharmaceutical Engineering, School of Engineering, China Pharmaceutical University, Nanjing, 639 Longmian Avenue, 211198, China; email: xmzha@cpu.edu.cn; CODEN: BMECE",2024,exclude,No RCT + no outcome,
1022,"Export Date: 03 March 2026; Cited By: 13; Correspondence Address: N.M.S. de Groot; Department of Cardiology, Erasmus Medical Center, Rotterdam, Netherlands; email: n.m.s.degroot@erasmusmc.nl; CODEN: CDTHE",2023,exclude,No RCT + no outcome,
1032,"Export Date: 03 March 2026; Cited By: 11; Correspondence Address: S. Goulart Nacácio e Silva; Department of Ophthalmology, University of Campinas, São Paulo, Brazil; email: goulartsgns@gmail.com; CODEN: EJOOE",2023,exclude,No RCT + no outcome,
1045,"Export Date: 03 March 2026; Cited By: 63; Correspondence Address: K.D. O'Brien; Division of Cardiology, Department of Medicine, University of Washington, Seattle, United States; email: cardiac@uw.edu; R. Tian; Mitochondrial and Metabolism Center, Department of Anesthesiology and Pain Medicine, University of Washington, Seattle, United States; email: rongtian@uw.edu",2022,exclude,No RCT + no outcome,
1081,"Export Date: 03 March 2026; Cited By: 63; Correspondence Address: F.A. Zouein; Department of Pharmacology and Toxicology, Faculty of Medicine, American University of Beirut Medical Center, Beirut, Lebanon; email: fouadzouein@outlook.com; M. Mericskay; INSERM Department of Signalling and Cardiovascular Pathophysiology, UMR-S 1180, Université Paris-Saclay, Châtenay-Malabry, France; email: mathias.mericskay@inserm.fr; M.M. Refaat; Department of Internal Medicine, Faculty of Medicine, American University of Beirut Medical Center, Beirut, Lebanon; email: mr48@aub.edu.lb; M.M. Refaat; Department of Internal Medicine, Faculty of Medicine, American University of Beirut Medical Center, Beirut, Lebanon; email: mr48@aub.edu.lb",2021,exclude,No RCT + no outcome,
1122,"Export Date: 03 March 2026; Cited By: 44; Correspondence Address: G. Magni; Istituto di Biotecnologie Biochimiche, Università Politecnica delle Marche, 60131 Ancona, Via Ranieri 69, Italy; email: magnig@univpm.it; CODEN: CMCHE",2009,exclude,No RCT + no outcome,
1065,"Export Date: 03 March 2026; Cited By: 41; Correspondence Address: X. Wu; Tianjin Institute of Industrial Biotechnology, Chinese Academy of Sciences (CAS), Tianjin, China; email: wuxin@tib.cas.cn",2021,exclude,no RCT signal; no placebo; no human markers,
310,CN-02391953,2022,exclude,no RCT signal; no placebo; no human markers,
150,CN-01796095,2019,exclude,no RCT signal; no placebo,
375,CN-01966040,2019,exclude,no RCT signal; no placebo,
400,CN-01992471,2019,exclude,no RCT signal; no placebo,
64,33492681,2021,exclude,no RCT signal; no placebo; no human markers,
189,CN-02507251,2022,exclude,no RCT signal; no placebo,straightforward
126,CN-01575066,2017,exclude,no RCT signal; no placebo; no human markers,
185,CN-01901955,2017,exclude,no RCT signal; no placebo,
192,CN-02544612,2022,exclude,no metabolic outcome,
434,CN-02408801,2022,exclude,no metabolic outcome; no human markers,straightforward
467,CN-02558395,2022,exclude,no metabolic outcome,
477,CN-02527085,2022,exclude,no metabolic outcome,
476,CN-02748260,2024,exclude,no RCT signal,straightforward
170,CN-01568175,2018,exclude,no RCT signal,
266,CN-01660920,2018,exclude,no RCT signal; no placebo,
69,31710095,2020,exclude,no RCT signal; no placebo; no human markers,
98,CN-02209823,2020,exclude,no RCT signal; no placebo,straightforward
353,CN-02307420,2021,exclude,no RCT signal; no placebo,
