record_num,id,reason,precursor,title,authors,year,journal,doi
56,35123833,Animal model,NMN,Nicotinamide mononucleotide promotes pancreatic islet function through the SIRT1  pathway in mice after severe burns.,Liu X; Li D; Liu Z...,2022,Burns : journal of the International Society for Burn Injuries,10.1016/j.burns.2022.01.013
57,35025762,Non-randomized study,NR,Boosting NAD+ blunts TLR4-induced type I IFN in control and systemic lupus  erythematosus monocytes.,Wu J; Singh K; Lin A...,2022,The Journal of clinical investigation,10.1172/JCI139828
59,34238308,Literature review,NMN,"Nicotinamide mononucleotide supplementation enhances aerobic capacity in amateur  runners: a randomized, double-blind study.",Liao B; Zhao Y; Wang D...,2021,Journal of the International Society of Sports Nutrition,10.1186/s12970-021-00442-4
60,34191033,Different supplement,none,"NAD+-Precursor Supplementation With L-Tryptophan, Nicotinic Acid, and  Nicotinamide Does Not Affect Mitochondrial Function or Skeletal Muscle Function in Physically Compromised Older Adults.",Connell NJ; Grevendonk L; Fealy CE...,2021,The Journal of nutrition,10.1093/jn/nxab193
62,33744645,Animal study,NR,Short-term nicotinamide riboside treatment improves muscle quality and function  in mice and increases cellular energetics and differentiating capacity of myogenic progenitors.,Seldeen KL; Shahini A; Thiyagarajan R...,2021,"Nutrition (Burbank, Los Angeles County, Calif.)",10.1016/j.nut.2021.111189
65,32942582,Systematic review,unclear,Clinical Evidence for Targeting NAD Therapeutically.,Radenkovic D; Reason; Verdin E,2020,"Pharmaceuticals (Basel, Switzerland)",10.3390/ph13090247
66,32791973,Review/meta-analysis,NR,"Nicotinamide riboside with pterostilbene (NRPT) increases NAD(+) in patients with  acute kidney injury (AKI): a randomized, double-blind, placebo-controlled, stepwise safety study of escalating doses of NRPT in patients with AKI.",Simic P; Vela Parada XF; Parikh SM...,2020,BMC nephrology,10.1186/s12882-020-02006-1
84,CN-02099792,Mouse/rat study,NR,Modulation of the cardiac sodium channel NaV1.5 peak and late currents by NAD+ precursors,"Matasic, DS; Yoon, JY; McLendon, JM...",2020,Journal of molecular and cellular cardiology,10.1016/j.yjmcc.2020.01.013
86,CN-02718911,Different supplement,none,The effects of NAD+-precursor supplementation on energy metabolism in physically compromised elderly,"NL-OMON47902,",2018,https://trialsearch.who.int/Trial2.aspx?TrialID=NL-OMON47902,
89,CN-01595020,No randomized design,NR,Safety &amp; Efficacy of Nicotinamide Riboside Supplementation for Improving Physiological Function in Middle-Aged and Older Adults,"NCT02921659,",2016,https://clinicaltrials.gov/show/NCT02921659,
90,CN-01593607,No randomized design,NR,Nicotinamide Riboside in Systolic Heart Failure,"NCT03423342,",2017,https://clinicaltrials.gov/show/NCT03423342,
94,CN-01560780,Not NAD+ precursor,none,High-Intensity Interval Training on Pre-Hypertensive Subjects,"NCT03000140,",2016,https://clinicaltrials.gov/show/NCT03000140,
95,CN-01564843,No NMN or NR,none,NAD Supplementation Study,"NCT03310034,",2017,https://clinicaltrials.gov/show/NCT03310034,
96,CN-02592363,Animal study,NR,Nicotinamide Riboside Impact on Extracellular Nicotinamide Adenine Dinucleotide (NAD+),"NCT06005350,",2023,https://clinicaltrials.gov/ct2/show/NCT06005350,
97,CN-02453065,Non-randomized study,NR,Benefits of Nicotinamide Riboside Upon Cognition and Sleep,"NCT05500170,",2022,https://clinicaltrials.gov/ct2/show/NCT05500170,
99,CN-01919743,Not an RCT,NR,Evaluation of Nicotinamide Riboside in Prevention of Small Fiber Axon Degeneration and Promotion of Nerve Regeneration,"NCT03912220,",2019,https://clinicaltrials.gov/ct2/show/NCT03912220,
103,CN-02379347,Observational,NR,Testing the ability of oral nicotinamide riboside to replenish heart tissue levels of oxidized nicotinamide adenine dinucleotide using heart biopsies taken at the time of surgery,"ACTRN12622000340730,",2022,https://trialsearch.who.int/Trial2.aspx?TrialID=ACTRN12622000340730,
112,CN-01170348,Not NAD+ precursor,none,"""A randomized, double-blind study of the effects of omega-3 fatty acids (Omegaven) on outcome after major liver resection""","Linecker, M; Limani, P; Botea, F...",2015,BMC gastroenterology,10.1186/s12876-015-0331-1
116,CN-02846213,Literature review,unclear,"Effect of acipimox on skeletal muscle biochemistry, structure and function in older people with probable sarcopenia: an experimental medicine study","McDonald, C; Alderson, C; Birkbeck, MG...",2025,GeroScience,10.1007/s11357-025-01606-9
118,CN-01560864,Different supplement,none,Supervised Exercise-training in Children With Insulin Resistance or Healthy Metabolic Profile,"NCT03003754,",2016,https://clinicaltrials.gov/show/NCT03003754,
119,CN-02033578,Not NMN/NR intervention,none,"Growth, Risks of Allergy and Metabolic Syndrome in 6 Year Old Children Born Preterm Compared to Postdischarge Nutrition","NCT02078687,",2014,https://clinicaltrials.gov/show/NCT02078687,
122,CN-02283878,No NMN/NR,none,"O-1 Results from a global phase 2 study of tislelizumab, an investigational PD-1 antibody, in patients with unresectable hepatocellular carcinoma","Ducreux, M; Abou-Alfa, G; Ren, Z...",2021,Annals of oncology,10.1016/j.annonc.2021.05.005
123,CN-01961379,No NMN or NR,none,Impact of liver tumor burden on therapeutic effect of 177Lu-dotatate treatment in NETTER-1 study,"Strosberg, J; Hendifar, A; Yao, JC...",2018,Annals of oncology,10.1093/annonc/mdy293.009
124,CN-01790011,Unrelated intervention,none,Impact of baseline liver tumor burden on treatment outcomes with 177Lu-DOTATATE in the NETTER-1 study,"Strosberg, J; Wolin, E; Yao, J...",2018,European journal of nuclear medicine and molecular imaging,10.1007/s00259-018-4148-3
125,CN-01987360,No NMN or NR,none,Brigatinib (BRG) versus crizotinib (CRZ) in Asian versus non-Asian patients (pts) in the phase III ALTA-1L trial,"Ahn, M-J; Kim, HR; Yang, JC-H...",2019,Journal of clinical oncology,10.1200/JCO.2019.37.15_suppl.9026
127,CN-01999046,Different supplement,none,"Does liver tumor burden affect the therapeutic effect of 177Lu-Dotatate treatment? Analysis of Progression Free Survival, Safety and Quality of Life in NETTER-1 study","Strosberg, J; Hendifar, A; Yao, J...",2019,Journal of nuclear medicine,
128,CN-02073980,Not NAD+ precursor,none,Brigatinib (BRG) vs Crizotinib (CRZ) in Patients (Pts) With ALK Inhibitor-Naive Advanced ALK1 NSCLC from ALTA-1L,"Yang, JCH; Kim, HR; Ahn, M-J...",2019,Annals of oncology,10.1093/annonc/mdz339.006
129,CN-01662821,No relevant precursor,none,Exercise for Preventing the Metabolic Syndrome in Latinoamerican Amerindians,"NCT03653468,",2018,https://clinicaltrials.gov/show/NCT03653468,
132,CN-02098151,No NMN or NR,none,Updated results from the phase 3 ALTA-1L trial of brigatinib (BRG) vs. Crizotinib (CRZ) in ALK inhibitor-naive advanced ALK + NSCLC,"Griesinger, F; Camidge, DR; Kim, HR...",2020,Oncology research and treatment,10.1159/000506491
133,CN-02892670,Not NMN/NR intervention,none,"A multicenter, randomized, global phase 3 study to assess the efficacy and safety of intratumoral (IT) INT230-6 (SHAO, vinblastine, cisplatin) as monotherapy compared with standard of care systemic chemotherapy in adults with locally recurrent, inoperable, or metastatic soft tissue sarcomas (STS; INVINCIBLE-3)","Chawla, SP; Razak, A; Hu, JS...",2025,Journal of clinical oncology,
135,CN-02691808,No randomized design,NR,IV Administration of ChromaDex's Niagen® as Compared to NAD+,"NCT06382688,",2024,https://clinicaltrials.gov/ct2/show/NCT06382688,
137,CN-02454629,Different supplement,none,A phase II study of alectinib in combination with bevacizumab as first-line treatment in advanced NSCLC with confirmed ALK fusion: ALEK-B trial,"Arrieta, OG; Mejia, LAL; Cabrera, LA...",2022,Journal of clinical oncology,10.1200/JCO.2022.40.16_suppl.9074
138,CN-01654327,No NMN or NR,none,Brigatinib vs Crizotinib in Patients With ALK Inhibitor-Naive Advanced ALK+ NSCLC: first Report of a Phase 3 Trial (ALTA-1L),"Camidge, R; Kim, HR; Ahn, M...",2018,Journal of thoracic oncology,10.1016/j.jtho.2018.08.011
139,CN-02517503,No relevant precursor,none,Brigatinib vs Crizotinib in patients (pts) with ALK inhibitornaive advanced ALK+ NSCLC from the phase 3 ALTA-1L trial,"Griesinger, F; Camidge, DR; Kim, HR...",2019,Oncology research and treatment,10.1159/000502425
140,CN-02559292,No NMN or NR,none,VISCERAL FAT REDUCTION WITH TESAMORELIN ASSOCIATED WITH METABOLIC SYNDROME REVERSAL,"Bedimo, R; Gonzalo, T; McGary, CS...",2023,Topics in antiviral medicine,
141,CN-02087575,Unrelated intervention,none,Brigatinib versus crizotinib in patients with ALK inhibitor–naive advanced ALK+ NSCLC: results from the phase 3 ALTA-1L trial,"Califano, R; Camidge, D; Kim, H-R...",2020,"Lung cancer (Amsterdam, Netherlands)",10.1016/S0169-5002(20)30164-1
143,CN-02474795,Different supplement,none,Leptin increases hepatic triglyceride export via a vagal mechanism in humans,"Metz, M; Beghini, M; Wolf, P...",2022,Cell metabolism,10.1016/j.cmet.2022.09.020
145,CN-02667901,Review/meta-analysis,unclear,"A study protocol to investigate if acipimox improves muscle function and sarcopenia: an open-label, uncontrolled, before-and-after experimental medicine feasibility study in community-dwelling older adults","McDonald, C; Alderson, C; Birkbeck, MG...",2024,BMJ open,10.1136/bmjopen-2023-076518
147,CN-02775434,Not NAD+ precursor,none,"Study of the efficacy and safety of half-dose PT/Cy plus post-transplant very low-dose ATG-F as graft-versus-host disease prophylaxis in HLA-matched sibling peripheral blood stem cell transplantation: a multicenter, open, randomized controlled phase II trial","ChiCTR2400092045,",2024,https://trialsearch.who.int/Trial2.aspx?TrialID=ChiCTR2400092045,
149,CN-00759704,Wrong intervention,none,Precise prediction model and simplified scoring system for sustained combined response to interferon-alpha,"Mao, QG; Pan, JS; Fang, KN...",2010,World journal of gastroenterology,10.3748/wjg.v16.i27.3465
151,CN-02383351,Not NAD+ precursor,none,"Dabrafenib, Alone or in Combination with Trametinib, in Pediatric Patients with BRAF V600 Mutation-Positive Langerhans Cell Histiocytosis","Whitlock, JA; Geoerger, B; Roughton, M...",2021,Blood,10.1182/blood-2021-147377
152,CN-00470250,Not NAD+ precursor,none,The close relationship between postprandial remnant metabolism and insulin resistance,"Funada, J; Sekiya, M; Otani, T...",2004,Atherosclerosis,10.1016/j.atherosclerosis.2003.09.016
153,CN-01807320,No relevant precursor,none,Energy metabolism and the skeleton: reciprocal interplay. - ND,"EUCTR2009-012397-12-IT,",2009,https://trialsearch.who.int/Trial2.aspx?TrialID=EUCTR2009-012397-12-IT,
154,CN-01167037,Different supplement,none,Impact of probiotics during weaning on the metabolic and inflammatory profile: follow-up at school age,"Karlsson Videhult, F; Andersson, Y; Öhlund, I...",2015,International journal of food sciences and nutrition,10.3109/09637486.2015.1025717
158,CN-02907522,No NMN or NR,none,Bariatric Arterial Embolization vs Bariatric Surgery: comparison of metabolic effects in obese patients with Type2 Diabetes,"De Oliveira, RO; Conde, SV; Martins, FO...",2025,Obesity facts,10.1159/000545547
160,CN-00721897,Wrong intervention,none,Increased clearance of cortisol by 5beta-reductase in a subgroup of women with adrenal hyperandrogenism in polycystic ovary syndrome,"Gambineri, A; Forlani, G; Munarini, A...",2009,Journal of endocrinological investigation,10.1007/BF03346454
161,CN-00799454,No relevant precursor,none,Weight loss and low-intensity exercise for the treatment of metabolic syndrome in obese postmenopausal women,"Joseph, LJ; Prigeon, RL; Blumenthal, JB...",2011,"Journals of gerontology. Series A, Biological sciences and medical sciences",10.1093/gerona/glr093
162,CN-01644006,Wrong intervention,none,Metabolic effects of resistance or high-intensity interval training among glycemic control-nonresponsive children with insulin resistance,"Alvarez, C; Ramirez-Campillo, R; Ramirez-Velez, R...",2018,International journal of obesity (2005),10.1038/ijo.2017.177
163,CN-02454238,No NMN/NR,none,Temporal multiomics analysis characterizes circulating molecular determinants associated with poor outcome in patients with severe alcoholic hepatitis,"Maras, JS; Bhat, A; Sharma, N...",2022,Hepatology international,10.1007/s12072-022-10337-4
164,CN-02280155,Unrelated intervention,none,Study of Tuberculosis resistant to treatment,"CTRI/2021/03/032189,",2021,https://trialsearch.who.int/Trial2.aspx?TrialID=CTRI/2021/03/032189,
165,CN-02262300,Different supplement,none,Biochemical metabolism of young plants of Ucuúba (Virola surinamensis) in the presence of cadmium,"Junior, WVA; Neto, CFO; Filho, BGS...",2021,BMC plant biology,10.1186/s12870-021-02912-y
166,CN-02381294,No relevant precursor,none,Oleuropein and Muscle Energy Metabolism,"NCT05217433,",2021,https://clinicaltrials.gov/show/NCT05217433,
168,CN-02916409,Not NAD+ precursor,none,Probiotic pasta consumption improves lipid metabolism and reduces gut permeability in overweight and obese adults: a randomized controlled trial,"Tagliamonte, S; Barone Lumaga, R; De Filippis, F...",2025,Current research in food science,10.1016/j.crfs.2025.101215
171,CN-02949379,Not NMN/NR intervention,none,Growth Hormone Promotes Hepatic Triglyceride Export in Humans,"Baumgartner, C; Metz, M; Beghini, M...",2025,Journal of clinical endocrinology and metabolism,10.1210/clinem/dgaf155
172,CN-02701115,No relevant precursor,none,"521 ALT, FIBROSCAN VCTE, AND FIBROSCAN CAP AS PREDICTIVE MARKERS OF RESMETIROM BIOPSY RESPONSE","Loomba, R; Schattenberg, J; Taub, R...",2024,Gastroenterology,10.1016/S0016-5085(24)04014-9
175,CN-02833077,Not an RCT,NR,"Absorption and Tolerability of Injectable Administration of Niagen®+, as Compared to NAD+","NCT06919328,",2025,https://clinicaltrials.gov/ct2/show/NCT06919328,
176,CN-00999253,Not NAD+ precursor,none,"Hypercaloric diets with increased meal frequency, but not meal size, increase intrahepatic triglycerides: a randomized controlled trial","Koopman, KE; Caan, MW; Nederveen, AJ...",2014,"Hepatology (Baltimore, Md.)",10.1002/hep.27149
177,CN-02414125,Unrelated intervention,none,Metabolome changes with diet-induced remission in pediatric Crohn's disease,"Ghiboub, M; Penny, S; Verburgt, CM...",2022,Gastroenterology,10.1053/j.gastro.2022.05.050
178,CN-02748262,Children/adolescents,NMN,"Study of formula milk with breast milk-derived new ingredient (nicotinamide mononucleotide) on energy metabolism of baby: multicenter, double-blinded, randomized, commercial product-controlled trial","JPRN-UMIN000054184,",2024,https://trialsearch.who.int/Trial2.aspx?TrialID=JPRN-UMIN000054184,
179,CN-01036696,No NMN or NR,none,"Southwest Oncology Group S0008: a phase III trial of high-dose interferon Alfa-2b versus cisplatin, vinblastine, and dacarbazine, plus interleukin-2 and interferon in patients with high-risk melanoma--an intergroup study of cancer and leukemia Group B, Children's Oncology Group, Eastern Cooperative Oncology Group, and Southwest Oncology Group","Flaherty, LE; Othus, M; Atkins, MB...",2014,Journal of clinical oncology,10.1200/JCO.2013.53.1590
180,CN-02260882,No relevant precursor,none,Randomized phase II study evaluating the addition of pembrolizumab to radium-223 in metastatic castration-resistant prostate cancer,"Choudhury, AD; Kwak, L; Cheung, A...",2021,Journal of clinical oncology,10.1200/JCO.2021.39.6_suppl.98
181,CN-01056122,Not NAD+ precursor,none,Cardiometabolic benefits of exercise training among fitness non-responsive patients with type 2 diabetes mellitus: HART-D study,"Pandey, A; Swift, D; McGuire, D...",2014,Circulation,
182,CN-01130490,No relevant precursor,none,"Vomiting, excess weight and baros in Roux-en-Y gastric bypass surgery: a randomized study in patients with and without the silastic ring","Rasera Jr, I; Coelho, TH; Ravelli, MN...",2015,Obesity surgery,10.1007/s11695-015-1750-3
183,CN-01956899,No NMN/NR,none,"Comparison of clinical and metabolic effects of testosterone and estradiol in adult gonadectomized patients with 46, XY DSD due to complete androgen insensitivity syndrome (CAIS)-(eudract-nr: 2010-021790-37)","Birnbaum, W; Hiort, O; Marshall, L",2017,Hormone research in paediatrics,10.1159/000481424
184,CN-01951865,Unrelated intervention,none,A single determination of C-reactive protein does not suffice to declare a patient with a diagnosis of axial spondyloarthritis 'CRP-negative',"Landewé, R; Nurminen, T; Davies, O...",2018,Arthritis research &amp; therapy,10.1186/s13075-018-1707-8
187,CN-01440844,No NMN/NR,none,Effects and prevalence of nonresponders after 12 weeks of high-intensity interval or resistance training in women with insulin resistance: a randomized trial,"Álvarez, C; Ramírez-Campillo, R; Ramírez-Vélez, R...",2017,"Journal of applied physiology (Bethesda, Md. : 1985)",10.1152/japplphysiol.01037.2016
190,CN-00123459,Wrong intervention,none,Determinants of the cephalic-phase insulin response in obese nondiabetic subjects,"Karhunen, LJ; Lappalainen, RI; Niskanen, LK...",1996,Metabolism: clinical and experimental,10.1016/s0026-0495(96)90048-7
191,CN-02696746,Different supplement,none,Long-term clinical outcomes of certolizumab pegol treatment in non-radiographic axial spondyloarthritis stratified by baseline MRI and CRP status,"Rudwaleit, M; Deodhar, A; Bauer, L...",2024,RMD open,10.1136/rmdopen-2023-003884
194,CN-01034900,Wrong intervention,none,Letrozole normalizes serum testosterone but has no clinical effects in men with obesity-related hypogonadotropic hypogonadism,"Loves, S; De Jong, J; Van Sorge, A...",2011,Endocrine reviews,
195,CN-02701093,No relevant precursor,none,METABOLOME AND MICROBIOME ALTERATIONS PROVIDE MECHANISTIC INSIGHT AND PREDICT RESPONSE TO AN INTERMITTENT REDUCED CALORIE DIET IN PATIENTS WITH CROHN'S DISEASE,"Ye, J; Fardeen, T; Dickson, ER...",2024,Gastroenterology,10.1016/S0016-5085(24)03715-6
196,CN-01073908,Different supplement,none,Impact of BCAA enriched nutritional support on rehabilitation in hospitalized frail elderly patients: a randomized cotrolled trial,"Yoshimura, Y; Uchida, K; Miyahara, T...",2013,"Clinical nutrition (Edinburgh, Scotland)",
197,CN-02667134,Unrelated intervention,none,The effect of fermented buttermilk on plasma lipid profile in perimenopausal women: a preliminary research,"Aleksejeva, S; Krasikova, A; Ciprovica, I...",2023,Clinical nutrition ESPEN,10.1016/j.clnesp.2023.09.851
201,CN-02294317,Not randomized,NR,Differential role of nicotinamide adenine dinucleotide deficiency in acute and chronic kidney disease,"Faivre, A; Katsyuba, E; Verissimo, T...",2021,"Nephrology, dialysis, transplantation",10.1093/NDT/GFAA124
202,CN-01652427,Unrelated intervention,none,A randomized phase II clinical trial of dendritic cell vaccination following complete resection of colon cancer liver metastasis,"Rodriguez, J; Castañón, E; Perez-Gracia, JL...",2018,Journal for immunotherapy of cancer,10.1186/s40425-018-0405-z
203,CN-00530931,Not NAD+ precursor,none,Prognostic values of serum concentration and urinary excretion of interleukin-1 receptor antagonist and tumor necrosis factor receptors type I and II in patients with IGA nephropathy,"Zwiech, R; Kacprzyk, F; Szuflet, A...",2005,Polskie Archiwum Medycyny Wewnetrznej,
205,CN-01568752,No relevant precursor,none,Evaluation of green cane system on soil microbial populations and their main metabolic activities,"Luduena, L; Alderete, M; Nunez, M...",2018,Biocell,
206,CN-02276499,Wrong intervention,none,"Atezolizumab plus Bevacizumab versus Sorafenib in the Chinese Subpopulation with Unresectable Hepatocellular Carcinoma: phase 3 Randomized, Open-Label IMbrave150 Study","Qin, S; Ren, Z; Feng, Y-H...",2021,Liver cancer,10.1159/000513486
207,CN-01925164,No NMN/NR,none,Acute dietary nitrate supplementation does not attenuate oxidative stress or the hemodynamic response during submaximal exercise in hypobaric hypoxia,"Carriker, CR; Rombach, P; Stevens, BM...",2018,"Physiologie appliquee, nutrition et metabolisme [Applied physiology, nutrition, and metabolism]",10.1139/apnm-2017-0813
208,CN-02894657,No NMN or NR,none,Non-invasive predictive markers of resmetirom biopsy response,"Loomba, R; Schattenberg, JM; Taub, R...",2024,Journal of hepatology,10.1016/S0168-8278(24)01533-2
210,CN-00176856,Not NMN/NR intervention,none,Dose-dependent pharmacokinetics of mezlocillin in subjects with normal and impaired renal function,"Mangione, A; Janicke, DM; Boudinot, FD...",1982,Journal of antimicrobial chemotherapy,10.1093/jac/9.suppl_a.81
211,CN-02495987,No NMN or NR,none,Effects of 18 months of GH replacement on cardiovascular risk factors and quality of life in GH deficient adults; a randomized controlled trial using a fixed very low and a standard dose of GH,"Götherström, G; Johannsson, G; Svensson, J",2022,Growth hormone &amp; IGF research,10.1016/j.ghir.2022.101510
212,CN-00743467,Wrong intervention,none,Factors associated with the minimal clinically important difference for health-related quality of life after physical conditioning in patients with COPD,"Dourado, VZ; Antunes, LC; Tanni, SE...",2009,Jornal brasileiro de pneumologia,10.1590/s1806-37132009000900005
213,CN-00380687,Wrong intervention,none,Interaction of niacin and zinc metabolism in patients with alcoholic pellagra,"Vannucchi, H; Moreno, FS",1989,American journal of clinical nutrition,10.1093/ajcn/50.2.364
215,CN-02191255,Unrelated intervention,none,Effect of wheelchair-modified rowing exercise on cardiometabolic risk factors in spinal cord injured wheelchair users: protocol for a randomised controlled trial,"Hansen, RK; Samani, A; Laessoe, U...",2020,BMJ open,10.1136/bmjopen-2020-040727
217,CN-01613737,No NMN or NR,none,Effect of dietary nitrate on blood pressure and vascular control in post-menopausal hypertensive women,"Caldwell, JT; Craig, JC; Post, HK...",2018,FASEB journal,
218,CN-02749758,Unrelated intervention,none,Exploratory analysis of the potential disconnect between objective inflammatory response and clinical response following certolizumab pegol treatment in patients with active axial spondyloarthritis,"Rudwaleit, M; Marzo-Ortega, H; Navarro-Compán, V...",2024,RMD open,10.1136/rmdopen-2024-004369
219,CN-01620743,Unrelated intervention,none,Clinical and genotypic features of nephropathy in ischemic stroke,"Sobirova, A; Daminova, K",2018,"Cerebrovascular diseases (Basel, Switzerland)",10.1159/000490132
220,CN-01396070,No NMN/NR,none,Therapy reduction in patients with Down syndrome and myeloid leukemia: the international ML-DS 2006 trial,"Uffmann, M; Rasche, M; Zimmermann, M...",2017,Blood,10.1182/blood-2017-01-765057
221,CN-02928668,Different supplement,none,RESMETIROM EFFECTS ON METABOLIC DYSFUNCTION ASSOCIATED STEATOHEPATITIS (MASH) WITH LIVER FIBROSIS IN PATIENTS WITH MASH GENETIC RISK ALLELES,"Schattenberg, J",2025,United European gastroenterology journal,10.1002/ueg2.70035
222,CN-00144739,Not NMN/NR intervention,none,Serum levels of tumour necrosis factor-alpha predict response to recombinant human erythropoietin in patients with myelodysplastic syndrome,"Stasi, R; Brunetti, M; Bussa, S...",1997,Clinical and laboratory haematology,
